,track_name,artist,album_name,date_listened,uts,url,tags
10850,(Everybody's Waitin' For) the Man With the Bag,Kay Starr,A Capitol Christmas,"27 Nov 2023, 09:08",1701076099,https://www.last.fm/music/Kay+Starr/_/(Everybody%27s+Waitin%27+For)+the+Man+With+the+Bag,jazz
10851,Deck the Halls,Nat King Cole,The Christmas Song (Expanded Edition),"27 Nov 2023, 09:07",1701076036,https://www.last.fm/music/Nat+King+Cole/_/Deck+the+Halls,jazz
10852,A Marshmallow World,Darlene Love,A Christmas Gift for You From Phil Spector,"27 Nov 2023, 09:04",1701075898,https://www.last.fm/music/Darlene+Love/_/A+Marshmallow+World,soul
10853,Cool Yule,Louis Armstrong,The Decca Singles 1949-1958,"27 Nov 2023, 09:02",1701075726,https://www.last.fm/music/Louis+Armstrong/_/Cool+Yule,jazz
10854,God Rest Ye Merry Gentlemen,Bing Crosby,White Christmas,"27 Nov 2023, 08:59",1701075594,https://www.last.fm/music/Bing+Crosby/_/God+Rest+Ye+Merry+Gentlemen,jazz
10855,This Christmas,Donny Hathaway,A Donny Hathaway Collection,"27 Nov 2023, 08:56",1701075368,https://www.last.fm/music/Donny+Hathaway/_/This+Christmas,soul
10856,Please Come Home for Christmas - 2013 Remaster,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),"27 Nov 2023, 08:53",1701075197,https://www.last.fm/music/Eagles/_/Please+Come+Home+for+Christmas+-+2013+Remaster,classic rock
10857,When a Child Is Born,Johnny Mathis,I Only Have Eyes For You,"27 Nov 2023, 08:49",1701074979,https://www.last.fm/music/Johnny+Mathis/_/When+a+Child+Is+Born,oldies
10858,Little Saint Nick,The Beach Boys,Christmas With The Beach Boys,"27 Nov 2023, 08:47",1701074853,https://www.last.fm/music/The+Beach+Boys/_/Little+Saint+Nick,classic rock
10859,Winter Wonderland,Darlene Love,A Christmas Gift for You From Phil Spector,"27 Nov 2023, 08:45",1701074712,https://www.last.fm/music/Darlene+Love/_/Winter+Wonderland,soul
